Iteration,Time,TimeStep,Diff.Hf,Diff.Tw,Diff.Mice,MiceTotal
8.6000000000e+03,3.7126190000e+02,3.8260000000e-02,1.9960000000e-25,2.1960000000e-20,5.9800000000e-24,2.3720000000e+00
8.7000000000e+03,3.7508780000e+02,3.8260000000e-02,1.3570000000e-25,1.5240000000e-20,3.8210000000e-24,2.3970000000e+00
8.8000000000e+03,3.7891370000e+02,3.8260000000e-02,1.0010000000e-25,8.9660000000e-21,2.5820000000e-24,2.4220000000e+00
8.9000000000e+03,3.8273960000e+02,3.8260000000e-02,7.1250000000e-26,8.9660000000e-21,1.8350000000e-24,2.4470000000e+00
9.0000000000e+03,3.8656550000e+02,3.8260000000e-02,4.8450000000e-26,2.9890000000e-21,1.2540000000e-24,2.4720000000e+00
9.1000000000e+03,3.9039140000e+02,3.8260000000e-02,3.9100000000e-26,5.9770000000e-21,9.1770000000e-25,2.4980000000e+00
9.2000000000e+03,3.9421730000e+02,3.8260000000e-02,2.9930000000e-26,2.9890000000e-21,7.8090000000e-25,2.5230000000e+00
9.3000000000e+03,3.9804320000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.5480000000e+00
9.4000000000e+03,4.0186910000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.5730000000e+00
9.5000000000e+03,4.0569500000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.5980000000e+00
9.6000000000e+03,4.0952090000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6230000000e+00
9.7000000000e+03,4.1334680000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6480000000e+00
9.8000000000e+03,4.1717270000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6740000000e+00
9.8740000000e+03,4.2000000000e+02,3.4350000000e-02,1.3750000000e-24,0.0000000000e+00,0.0000000000e+00,2.6920000000e+00
1.0000000000e+00,4.2003830000e+02,3.8260000000e-02,9.3620000000e-22,9.8970000000e-18,7.9870000000e-21,2.6920000000e+00
